Instancia,Drones,Fitness,Valido,Tiempo_s
PSP-UAV_01_a,10,10500000.00,No,0.638
PSP-UAV_01_a,3,159770.00,Si,2.411
PSP-UAV_01_a,5,10199610.00,No,1.946
PSP-UAV_01_b,10,10345747.00,No,2.019
PSP-UAV_01_b,3,145674.00,Si,2.276
PSP-UAV_01_b,5,135904.00,Si,2.309
PSP-UAV_02_a,10,10500000.00,No,1.117
PSP-UAV_02_a,3,642720.00,Si,6.674
PSP-UAV_02_a,5,10416014.00,No,6.872
PSP-UAV_02_b,10,10396150.00,No,8.232
PSP-UAV_02_b,3,626982.00,Si,6.899
PSP-UAV_02_b,5,10408652.00,No,5.512
PSP-UAV_03_a,10,10500000.00,No,3.614
PSP-UAV_03_a,3,2044422.00,Si,19.637
PSP-UAV_03_a,5,2024246.00,Si,13.694
PSP-UAV_03_b,10,10475528.00,No,12.622
PSP-UAV_03_b,3,1923246.00,Si,19.045
PSP-UAV_03_b,5,10476163.00,No,11.812
